Updated from ONS Data,
PostCodeDistrict,Nationwide
AB1,Scotland
AB10,Scotland
AB11,Scotland
AB12,Scotland
AB13,Scotland
AB14,Scotland
AB15,Scotland
AB16,Scotland
AB2,Scotland
AB21,Scotland
AB22,Scotland
AB23,Scotland
AB24,Scotland
AB25,Scotland
AB3,Scotland
AB30,Scotland
AB31,Scotland
AB32,Scotland
AB33,Scotland
AB34,Scotland
AB35,Scotland
AB36,Scotland
AB37,Scotland
AB38,Scotland
AB39,Scotland
AB4,Scotland
AB41,Scotland
AB42,Scotland
AB43,Scotland
AB44,Scotland
AB45,Scotland
AB5,Scotland
AB51,Scotland
AB52,Scotland
AB53,Scotland
AB54,Scotland
AB55,Scotland
AB56,Scotland
AB9,Scotland
AB99,Scotland
AL1,Outer Metropolitan
AL10,Outer Metropolitan
AL2,Outer Metropolitan
AL3,Outer Metropolitan
AL4,Outer Metropolitan
AL5,Outer Metropolitan
AL6,Outer Metropolitan
AL7,Outer Metropolitan
AL8,Outer Metropolitan
AL9,Outer Metropolitan
B1,West Midlands
B10,West Midlands
B11,West Midlands
B12,West Midlands
B13,West Midlands
B14,West Midlands
B15,West Midlands
B16,West Midlands
B17,West Midlands
B18,West Midlands
B19,West Midlands
B2,West Midlands
B20,West Midlands
B21,West Midlands
B22,West Midlands
B23,West Midlands
B24,West Midlands
B25,West Midlands
B26,West Midlands
B27,West Midlands
B28,West Midlands
B29,West Midlands
B3,West Midlands
B30,West Midlands
B31,West Midlands
B32,West Midlands
B33,West Midlands
B34,West Midlands
B35,West Midlands
B36,West Midlands
B37,West Midlands
B38,West Midlands
B4,West Midlands
B40,West Midlands
B42,West Midlands
B43,West Midlands
B44,West Midlands
B45,West Midlands
B46,West Midlands
B47,West Midlands
B48,West Midlands
B49,West Midlands
B5,West Midlands
B50,West Midlands
B6,West Midlands
B60,West Midlands
B61,West Midlands
B62,West Midlands
B63,West Midlands
B64,West Midlands
B65,West Midlands
B66,West Midlands
B67,West Midlands
B68,West Midlands
B69,West Midlands
B7,West Midlands
B70,West Midlands
B71,West Midlands
B72,West Midlands
B52,West Midlands
B73,West Midlands
B74,West Midlands
B75,West Midlands
B76,West Midlands
B77,West Midlands
B78,West Midlands
B79,West Midlands
B8,West Midlands
B80,West Midlands
B9,West Midlands
B90,West Midlands
B91,West Midlands
B92,West Midlands
B93,West Midlands
B94,West Midlands
B95,West Midlands
B96,West Midlands
B97,West Midlands
B98,West Midlands
B99,West Midlands
B51,West Midlands
BA1,South West
BA10,South West
BA11,South West
BA12,South West
BA13,South West
BA14,South West
BA15,South West
BA16,South West
BA2,South West
BA20,South West
BA21,South West
BA22,South West
BA3,South West
BA4,South West
BA5,South West
BA6,South West
BA7,South West
BA8,South West
BA9,South West
BB0,North West
BB1,North West
BB10,North West
BB11,North West
BB12,North West
BB18,North West
BB2,North West
BB3,North West
BB4,North West
BB5,North West
BB6,North West
BB7,North West
BB8,North West
BB9,North West
BB94,North West
BD1,Yorkshire & Humberside
BD10,Yorkshire & Humberside
BD11,Yorkshire & Humberside
BD12,Yorkshire & Humberside
BD13,Yorkshire & Humberside
BD14,Yorkshire & Humberside
BD15,Yorkshire & Humberside
BD16,Yorkshire & Humberside
BD17,Yorkshire & Humberside
BD18,Yorkshire & Humberside
BD19,Yorkshire & Humberside
BD2,Yorkshire & Humberside
BD20,Yorkshire & Humberside
BD21,Yorkshire & Humberside
BD22,Yorkshire & Humberside
BD23,Yorkshire & Humberside
BD24,Yorkshire & Humberside
BD3,Yorkshire & Humberside
BD4,Yorkshire & Humberside
BD5,Yorkshire & Humberside
BD6,Yorkshire & Humberside
BD7,Yorkshire & Humberside
